|	To	|	Weight	|	Path
|	302	|	-90	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 283, 302]
|	303	|	-90	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 303]
|	304	|	-90	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 283, 304]
|	305	|	-87	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 274, 294, 305]
|	306	|	-91	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 274, 296, 306]
|	307	|	-87	|	[0, 71, 89, 115, 126, 170, 208, 230, 260, 272, 284, 307]
|	308	|	-89	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 269, 281, 308]
|	309	|	-84	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 309]
|	310	|	-92	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 269, 281, 310]
|	311	|	-88	|	[0, 71, 89, 116, 121, 159, 215, 226, 264, 292, 311]
|	312	|	-92	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 269, 281, 312]
|	313	|	-88	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 274, 294, 313]
|	314	|	-93	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 283, 314]
|	315	|	-94	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 269, 281, 315]
|	316	|	-88	|	[0, 71, 89, 116, 121, 159, 215, 226, 264, 282, 316]
|	317	|	-93	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 317]
|	318	|	-84	|	[0, 71, 89, 116, 121, 159, 215, 250, 254, 297, 318]
|	319	|	-91	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 271, 319]
|	320	|	-82	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 291, 320]
|	321	|	-88	|	[0, 71, 89, 115, 126, 170, 208, 230, 260, 272, 279, 321]
|	322	|	-85	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 274, 289, 322]
|	323	|	-83	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 274, 289, 323]
|	324	|	-93	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 324]
|	325	|	-90	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 274, 294, 325]
|	326	|	-85	|	[0, 71, 89, 115, 126, 170, 208, 230, 260, 272, 279, 326]
|	327	|	-89	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 271, 327]
|	328	|	-77	|	[0, 71, 89, 116, 121, 159, 215, 226, 264, 328]
|	329	|	-92	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 274, 296, 329]
|	330	|	-94	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 278, 288, 330]
|	331	|	-90	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 274, 294, 331]
|	332	|	-92	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 332]
|	333	|	-79	|	[0, 71, 89, 115, 126, 170, 208, 230, 260, 272, 293, 333]
|	334	|	-88	|	[0, 71, 89, 115, 126, 170, 208, 230, 260, 272, 284, 334]
|	335	|	-87	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 278, 288, 335]
|	336	|	-88	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 274, 296, 336]
|	337	|	-88	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 278, 288, 337]
|	338	|	-89	|	[0, 71, 89, 115, 126, 170, 208, 230, 260, 272, 284, 338]
|	339	|	-93	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 280, 339]
|	340	|	-86	|	[0, 71, 89, 115, 126, 170, 208, 230, 260, 272, 279, 340]
|	341	|	-91	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 278, 288, 341]
|	342	|	-87	|	[0, 71, 89, 116, 121, 159, 215, 226, 264, 290, 342]
|	343	|	-77	|	[0, 71, 89, 115, 126, 170, 208, 230, 260, 270, 343]
|	344	|	-84	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 274, 294, 344]
|	345	|	-88	|	[0, 71, 89, 116, 121, 159, 215, 226, 264, 292, 345]
|	346	|	-92	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 280, 346]
|	347	|	-84	|	[0, 71, 89, 115, 126, 170, 208, 230, 260, 286, 347]
|	348	|	-92	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 269, 281, 348]
|	349	|	-93	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 280, 349]
|	350	|	-101	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 280, 349, 350]
|	351	|	-100	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 317, 351]
|	352	|	-98	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 280, 339, 352]
|	353	|	-95	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 280, 346, 353]
|	354	|	-100	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 324, 354]
|	355	|	-98	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 332, 355]
|	356	|	-99	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 280, 349, 356]
